95.75,454.46
76.83,441.53
62.89,438.18
88.02,443.3
91.23,447.45
88.35,469.25
87.44,476.67
62.41,432.3
81.64,454.01
87.19,450.23
86.19,458.55
68.06,481.08
82.96,460.57
87.54,478.24
70.03,431.83
59.37,469.33
35.66,428.62
59.62,434.12
85.05,467.42
97.17,447.8
75.54,436.19
81.28,441.56
37.6,463.33
82.41,470.53
77.75,447.28
79.39,450.7
45.92,432.78
74.52,451.09
76.48,438.23
98.58,457.07
72.53,438.44
82.07,473.43
55.25,450.86
80.95,435.12
88.86,477.05
61.58,432.6
75.78,432.43
95.31,468.14
52.67,429.08
65.15,443.7
74.15,477.65
56.32,433.84
80.11,442.65
93.29,478.44
76.62,447.18
40.77,446.26
64.68,472.67
62.59,461.6
78.4,443.71
64.5,430.16
87.07,447.85
67.05,441.25
77.88,448.47
71.04,473.31
59.44,460.54
66.5,482.31
70.27,447.67
64.41,434.45
84.98,464.87
76.97,446.33
66.86,439.0
90.06,466.24
82.87,445.92
76.9,472.06
71.65,439.13
78.31,485.58
50.04,431.84
82.15,456.57
82.27,483.83
83.75,483.14
41.61,429.31
63.7,443.87
88.38,464.58
69.31,428.08
78.01,434.97
72.51,475.72
50.61,431.18
76.86,444.0
76.52,451.79
80.76,475.5
66.56,454.23
90.59,483.77
76.28,438.5
69.96,465.24
76.05,431.69
90.7,469.15
79.48,437.44
58.04,477.27
78.62,479.32
69.84,445.84
72.57,449.76
73.75,444.96
61.51,457.15
69.45,431.66
78.3,477.8
95.1,440.86
77.8,465.29
61.21,467.0
80.7,452.0
70.06,448.51
70.53,474.72
64.28,482.39
85.6,478.45
88.51,466.88
71.9,487.71
85.69,483.26
83.09,476.69
70.66,450.4
58.92,439.39
56.56,439.13
67.92,434.01
98.05,472.43
59.36,435.7
75.1,441.5
77.0,450.3
86.1,464.27
69.2,470.99
65.22,481.41
79.14,490.23
59.33,437.35
49.34,474.03
62.14,428.72
63.77,478.29
82.73,454.06
50.88,425.35
68.17,430.46
51.43,452.82
60.62,475.04
90.21,464.07
97.93,455.86
55.13,429.86
83.42,434.91
43.02,443.81
53.98,430.15
85.42,460.09
88.83,452.8
66.37,432.19
78.55,439.01
63.15,432.92
66.53,449.45
82.11,468.74
57.73,441.79
50.0,474.6
63.82,470.38
71.83,456.49
61.34,440.15
90.45,435.94
80.44,481.89
77.63,454.09
93.63,484.42
65.8,440.61
82.26,456.97
83.53,481.92
41.96,437.55
62.24,445.89
37.19,457.81
84.97,485.18
58.25,440.94
67.78,456.77
65.43,455.16
58.47,454.2
70.02,452.84
87.99,471.43
47.53,430.32
71.05,443.85
40.16,462.44
66.78,460.59
86.05,444.69
82.28,448.11
62.68,433.71
64.91,447.86
93.82,478.98
96.16,479.13
77.94,439.51
69.09,478.34
77.72,458.8
41.84,440.1
57.58,460.2
95.81,475.23
50.62,444.78
69.32,465.35
82.46,434.74
81.59,431.73
81.54,469.25
81.83,434.45
70.96,447.73
70.47,435.23
50.84,437.46
62.95,440.8
55.19,439.25
72.37,426.53
96.8,466.03
72.85,474.74
90.74,479.83
86.59,456.4
49.76,455.32
76.46,449.54
46.94,444.39
77.91,475.87
82.8,458.93
73.44,430.9
80.88,446.4
73.4,462.63
88.43,434.53
89.85,454.62
74.67,442.84
53.22,425.28
89.84,451.86
74.14,431.72
91.37,476.42
86.71,469.35
94.97,466.77
88.13,487.17
96.24,450.02
98.9,466.85
52.72,440.92
55.65,434.64
87.82,442.5
69.36,443.93
53.95,440.26
72.44,473.67
77.93,466.45
57.24,432.18
87.27,463.5
72.59,434.24
89.86,432.88
71.18,452.26
86.82,450.23
98.04,483.31
77.83,485.1
82.64,470.84
69.94,432.52
79.47,465.6
74.83,429.92
91.34,474.27
80.16,435.46
43.26,436.47
53.96,443.75
76.1,430.81
55.76,444.98
54.99,435.53
98.2,463.35
52.56,450.48
58.94,447.83
64.67,438.69
59.94,452.75
79.44,486.4
57.29,441.22
41.3,449.1
78.47,452.0
91.36,473.54
47.82,440.07
77.34,468.29
64.16,458.67
96.05,468.87
75.15,438.73
86.74,472.28
85.68,469.06
79.9,453.79
94.22,460.64
84.65,462.67
82.38,444.34
92.3,437.67
79.12,427.2
87.2,474.68
42.47,438.41
84.75,471.17
84.21,446.98
90.65,483.04
66.49,432.26
85.02,464.02
98.98,468.37
73.67,459.87
78.85,455.53
72.71,435.88
95.4,490.76
65.19,442.45
64.49,475.86
74.98,477.51
58.79,439.16
71.79,449.11
94.36,474.51
92.4,462.55
69.15,438.08
97.49,462.21
65.85,476.12
67.65,469.13
69.79,446.58
70.76,444.05
74.66,455.5
65.13,472.04
71.93,435.93
82.98,432.49
66.12,441.2
69.8,447.84
51.79,442.13
57.35,435.31
84.79,454.25
67.25,464.33
87.65,441.77
91.09,464.81
66.11,439.73
61.4,435.4
51.22,443.77
48.51,440.27
93.26,482.31
85.63,483.62
93.8,431.16
75.19,428.24
77.78,453.28
56.55,467.61
40.23,435.56
47.49,457.57
68.68,445.9
80.79,482.34
62.34,475.46
66.29,463.17
76.27,446.56
91.98,446.66
92.89,446.63
53.66,447.85
79.27,466.2
53.77,449.66
82.97,454.47
60.43,438.82
47.19,443.61
79.51,446.7
72.21,461.58
89.67,464.79
75.81,483.66
64.13,447.06
59.48,445.31
92.86,437.65
60.26,437.76
76.81,438.09
31.45,428.54
72.1,455.51
79.54,438.95
80.1,477.32
70.23,475.08
81.96,475.51
80.06,430.79
85.25,427.77
72.09,439.2
82.14,448.56
47.78,432.44
73.63,447.26
79.32,442.47
78.18,466.15
83.82,478.37
52.18,473.84
48.6,442.23
86.06,448.58
53.93,445.82
52.54,443.88
68.67,441.08
86.77,452.1
80.78,455.35
89.14,462.46
76.66,442.47
81.1,448.84
66.83,440.45
49.64,437.61
88.21,464.88
77.61,467.96
86.09,471.49
73.58,433.46
78.84,454.85
64.59,473.33
69.64,477.22
82.72,441.66
94.87,457.74
57.93,440.52
72.24,438.2
61.09,431.17
32.99,430.8
40.13,435.1
77.92,472.55
65.4,443.62
77.73,453.83
66.17,433.71
45.73,430.48
68.14,452.21
57.7,445.09
79.17,480.84
76.93,466.51
97.55,470.82
55.7,436.51
85.89,482.63
51.96,440.0
63.47,431.0
81.32,481.09
62.32,467.23
80.28,465.67
50.64,443.72
71.81,451.11
74.88,458.5
68.97,465.93
62.51,435.51
63.05,477.22
60.82,436.87
65.99,459.06
76.92,430.42
92.79,466.08
65.91,436.16
73.01,479.64
81.61,443.58
53.6,430.05
54.82,448.65
45.27,455.5
61.61,442.69
54.51,442.96
82.19,481.59
91.8,483.12
85.38,472.46
84.54,481.46
84.58,480.38
74.07,477.74
51.24,455.29
51.82,436.02
88.98,463.03
75.51,469.02
81.58,466.56
50.17,436.75
59.85,433.1
79.35,433.53
71.41,437.95
95.48,471.38
57.05,434.88
97.88,479.91
91.64,472.45
92.42,477.8
79.08,467.05
46.19,439.14
42.39,436.95
90.79,434.6
79.63,441.45
76.26,446.17
73.39,451.94
66.9,458.25
86.16,446.05
60.49,442.88
67.12,452.5
93.52,470.82
75.09,458.66
51.8,440.3
53.26,428.42
58.9,426.79
65.32,437.06
95.44,472.36
68.24,426.69
57.86,430.87
65.44,451.01
58.08,438.83
72.47,432.35
65.02,433.89
65.17,483.3
86.53,446.87
79.64,471.91
61.81,449.79
55.1,426.9
61.12,464.13
86.02,491.38
52.34,426.46
70.09,438.22
75.89,480.31
66.81,455.63
58.09,429.15
54.4,441.68
55.8,454.2
83.9,436.7
92.68,474.97
94.35,456.25
90.13,431.24
98.39,465.8
52.8,463.29
79.09,453.5
60.67,481.51
80.08,483.92
68.92,428.88
62.37,441.9
88.62,473.76
67.49,436.9
50.83,444.71
62.77,458.94
91.79,445.35
66.68,454.44
89.0,434.24
86.35,432.82
66.33,434.76
39.46,436.96
85.22,447.28
82.29,470.88
70.49,430.81
96.18,471.19
74.96,440.01
80.0,463.09
80.8,454.14
99.1,467.96
76.22,445.77
58.99,434.43
86.66,461.12
96.46,442.51
93.23,476.67
80.87,446.7
81.77,466.75
84.64,458.26
74.78,471.55
74.41,471.46
84.09,464.5
74.42,433.09
65.76,430.7
92.9,478.66
72.79,446.37
92.22,445.21
57.12,468.94
53.23,431.23
58.77,447.06
94.72,484.19
93.62,474.32
79.5,474.17
88.46,440.46
86.14,479.2
50.18,429.99
81.06,446.34
75.23,442.25
52.37,439.84
77.7,464.81
61.3,442.25
92.7,446.57
58.02,448.27
84.36,480.38
96.48,476.61
95.66,472.11
58.36,466.73
75.91,430.72
74.84,465.64
64.79,430.81
89.51,450.25
89.62,452.11
72.38,434.59
55.72,440.09
47.13,427.21
60.72,469.5
83.39,483.56
94.09,437.9
98.62,450.33
41.46,437.35
53.97,442.11
56.46,440.75
74.08,436.36
71.5,442.18
86.5,475.9
52.68,429.38
83.71,476.71
85.88,435.66
94.54,431.47
64.87,438.47
68.23,440.05
59.99,444.71
76.08,484.96
85.24,481.29
87.49,464.12
64.88,465.64
87.1,479.95
64.51,464.95
63.73,435.36
68.71,457.89
88.57,459.23
87.59,433.99
59.12,445.39
75.7,442.03
42.11,431.97
81.03,477.38
87.53,429.84
41.37,439.55
63.52,440.74
93.02,467.84
82.42,488.58
53.83,446.04
81.02,454.78
83.33,462.16
74.09,478.06
44.83,439.81
56.3,434.01
89.72,444.64
63.07,452.21
71.69,428.87
85.93,477.73
77.79,477.52
95.65,441.99
80.45,477.62
69.1,447.49
87.22,446.22
89.93,473.59
78.51,484.45
83.7,465.72
63.04,427.67
89.71,478.02
67.4,444.82
77.57,461.96
69.07,443.02
43.65,447.12
51.91,433.13
68.43,453.94
74.56,449.87
59.32,456.87
86.75,477.38
73.33,448.51
91.39,488.63
52.92,471.97
81.43,480.07
45.86,464.66
70.37,437.14
91.07,462.58
75.04,437.75
88.59,469.52
87.84,450.98
73.45,434.08
68.85,488.36
80.84,485.24
62.8,480.47
82.71,467.44
54.69,433.15
55.73,442.24
84.4,449.48
68.86,449.77
70.72,486.15
92.13,471.93
60.75,449.54
92.19,443.82
98.77,456.04
45.71,435.06
53.18,432.09
63.43,456.21
62.1,432.25
79.21,452.96
94.14,462.07
73.95,461.15
79.4,441.81
59.49,438.79
84.11,452.57
95.85,437.41
81.24,463.44
82.86,471.15
67.98,454.13
46.31,466.17
66.58,437.95
90.36,458.59
85.1,472.68
76.61,463.47
41.71,470.77
97.25,479.88
74.45,471.61
50.91,438.99
71.55,471.48
46.91,466.74
65.24,438.05
68.94,485.95
55.84,431.09
62.7,464.33
82.03,460.14
76.5,480.08
96.29,474.24
53.86,441.92
54.12,433.57
60.22,435.97
59.75,440.1
82.39,438.29
56.58,448.83
65.47,460.97
81.55,467.31
76.38,455.52
68.91,475.42
84.02,466.71
72.5,437.16
77.77,465.99
50.03,444.19
77.44,464.95
89.7,440.21
100.07,472.45
67.87,432.0
67.24,494.43
83.66,465.78
77.22,458.61
86.44,431.53
85.14,461.61
88.88,444.5
79.8,466.59
43.1,439.35
99.15,456.28
80.01,476.49
89.03,431.18
74.62,443.25
66.34,445.37
72.94,472.5
89.75,478.52
71.6,447.78
77.42,447.01
89.8,476.24
90.4,433.75
86.68,451.9
67.13,454.4
80.74,441.93
85.07,474.97
40.0,437.42
85.06,446.86
52.1,436.58
98.07,466.05
84.85,472.04
68.37,477.26
92.25,443.04
64.96,438.15
37.43,437.17
42.69,436.17
48.92,447.36
69.81,466.34
72.39,441.36
88.37,482.46
97.82,463.57
64.99,445.61
58.33,443.01
99.82,473.51
71.99,440.13
72.48,436.89
55.16,468.84
76.35,433.25
47.25,440.74
57.59,436.33
76.7,462.54
84.39,461.34
99.9,474.29
94.27,472.82
53.9,425.74
72.31,439.68
71.44,470.98
68.31,444.98
55.4,464.9
75.85,453.27
86.31,466.05
57.16,425.98
71.15,434.28
60.73,441.21
85.44,436.57
93.35,478.94
75.2,475.77
77.35,488.43
63.31,495.35
98.86,450.72
58.91,439.33
94.76,466.95
61.94,436.92
87.29,469.57
61.26,469.68
68.35,433.07
83.32,464.93
68.57,431.36
51.3,438.28
91.9,479.58
100.1,470.9
45.61,455.02
69.34,446.88
96.56,463.86
77.32,435.9
61.07,448.06
54.22,446.62
91.51,457.28
90.38,484.33
66.45,430.19
76.34,464.91
73.32,481.44
76.45,468.63
76.77,453.9
70.33,448.69
52.86,460.33
79.57,474.75
97.78,475.14
76.78,456.41
84.0,441.68
70.12,454.66
69.14,461.87
51.38,450.53
64.1,437.63
84.3,452.2
78.96,433.45
65.61,481.18
43.84,436.44
61.98,469.34
66.71,439.84
64.17,438.25
45.06,452.24
51.07,440.29
71.4,469.93
60.76,449.01
99.47,475.79
73.34,445.29
62.09,460.1
71.42,460.97
78.26,430.37
59.69,438.17
75.75,465.32
86.03,488.67
71.53,462.12
88.95,472.04
72.92,465.85
63.93,483.94
68.98,494.91
91.86,437.87
86.51,481.66
54.15,466.99
91.14,456.29
85.95,436.0
67.66,452.83
75.14,440.96
85.26,460.35
82.56,466.27
87.13,468.87
70.85,432.36
60.31,464.13
47.87,454.9
79.74,440.69
69.88,453.54
63.06,427.04
69.91,444.95
84.38,465.41
74.53,429.62
78.8,454.72
58.58,430.12
59.91,440.56
57.46,432.84
60.9,429.84
76.51,460.33
75.56,473.75
75.41,434.48
67.57,444.28
66.4,439.87
55.38,474.94
48.58,431.96
62.05,447.7
79.19,451.8
31.81,430.88
71.82,445.41
57.18,435.57
60.58,445.44
84.06,437.93
37.77,429.64
61.04,441.2
76.41,450.57
69.55,482.57
70.42,444.19
71.02,488.2
70.58,450.06
73.64,467.32
40.68,446.23
84.32,471.41
78.53,433.39
64.31,444.1
71.23,452.56
69.69,469.23
84.42,464.23
52.01,442.48
63.13,453.56
61.63,432.96
59.27,440.22
75.06,462.03
68.16,434.73
73.09,445.09
48.62,465.87
85.79,452.93
47.56,467.53
63.35,458.58
85.47,449.26
59.23,441.58
77.98,453.66
90.55,471.32
88.78,482.98
63.03,453.08
78.33,455.28
75.82,427.61
60.23,477.17
74.46,457.01
48.05,451.62
79.67,475.51
77.05,439.65
66.43,477.75
52.16,444.66
68.12,436.62
80.22,481.38
86.46,472.01
81.88,470.39
90.5,434.21
86.22,459.65
93.25,444.88
62.3,440.66
73.81,453.12
87.25,454.54
70.39,458.25
75.3,462.72
47.69,441.18
84.77,480.59
84.31,445.81
95.25,492.39
64.18,451.21
73.1,442.27
50.5,444.49
65.04,439.63
70.64,445.6
59.16,463.72
71.11,468.88
86.91,476.62
65.62,431.58
63.22,480.38
97.51,479.48
68.75,462.6
89.91,464.17
83.55,446.2
47.73,432.93
88.71,490.57
70.46,454.1
84.81,446.33
71.56,466.59
98.1,461.73
80.56,486.76
97.62,473.05
68.25,444.61
54.13,469.32
44.05,433.13
70.31,444.14
65.39,436.12
89.68,442.5
55.74,475.61
80.14,485.2
90.2,430.55
81.95,439.91
78.95,479.33
93.24,444.53
85.94,474.28
69.4,438.26
82.44,467.32
77.2,447.06
90.47,478.05
42.29,441.13
95.94,482.0
59.83,484.91
89.59,449.73
56.15,453.87
86.25,432.25
41.9,442.6
85.55,456.4
53.03,441.08
84.1,437.49
71.36,442.21
81.04,431.28
88.29,473.86
70.3,447.69
92.46,480.38
81.19,453.64
51.04,437.28
64.0,452.64
85.12,440.02
68.52,441.16
75.76,452.77
69.49,454.5
62.12,434.1
73.47,437.32
91.95,447.58
80.39,444.6
89.64,427.5
74.72,430.55
73.59,446.31
61.89,476.87
63.59,459.85
59.0,437.82
82.52,458.53
70.43,465.38
52.5,439.9
82.88,459.0
47.14,436.99
68.07,462.74
55.35,440.04
68.88,451.05
81.62,491.23
57.8,438.61
83.99,451.06
91.65,476.49
92.37,485.04
68.99,469.8
78.83,446.08
95.41,480.97
96.38,476.29
43.7,448.43
62.74,434.0
49.39,446.3
92.06,481.58
87.35,486.86
94.01,474.91
89.13,437.8
86.55,486.03
82.34,481.47
47.46,429.8
73.36,431.69
53.33,430.82
94.84,485.27
79.56,433.49
95.34,491.37
95.67,469.03
86.26,463.57
84.56,474.2
72.52,449.6
87.57,447.93
45.99,431.93
55.78,430.54
84.67,479.06
82.62,478.8
73.14,486.84
61.14,470.18
77.96,442.76
58.64,435.32
92.11,480.59
39.2,466.01
86.62,452.5
95.95,440.81
90.6,482.3
71.21,446.05
55.92,443.94
36.81,436.92
66.39,447.31
85.66,463.1
83.28,463.65
88.56,443.31
52.08,430.28
74.27,446.05
96.66,472.41
93.86,471.61
56.01,437.21
63.62,442.28
56.91,437.04
60.45,466.24
70.91,476.74
58.0,430.14
71.73,467.4
84.23,442.78
82.63,444.31
67.64,436.71
72.13,479.66
61.62,469.44
79.79,466.02
85.13,440.52
67.72,440.86
78.52,451.1
91.69,442.19
62.66,459.98
58.35,435.26
61.85,436.46
64.25,443.66
43.08,462.19
82.37,440.58
52.95,464.68
42.53,438.91
48.77,447.93
55.66,452.89
65.31,431.07
83.54,438.73
77.95,454.34
56.36,443.18
69.95,448.61
81.41,477.78
79.95,478.52
59.15,464.26
96.65,459.6
62.64,430.42
54.3,449.18
49.54,443.53
99.94,449.55
68.74,453.32
68.2,457.66
76.01,484.03
63.58,444.91
78.87,461.7
89.97,454.76
86.32,430.66
73.21,468.35
77.47,430.62
74.59,450.05
79.28,443.12
73.46,438.41
79.71,440.96
84.12,448.39
90.17,459.8
39.67,448.72
66.28,453.1
98.68,480.36
80.59,448.32
43.31,450.67
70.92,461.73
73.79,461.55
76.14,479.87
25.56,425.58
83.86,485.08
77.62,446.67
74.55,438.64
66.47,446.55
82.82,469.69
78.73,456.13
79.05,468.49
74.5,475.02
67.35,426.29
71.07,465.58
86.29,459.69
78.1,457.14
38.14,434.83
83.05,485.26
93.74,437.9
55.42,427.9
63.49,446.17
94.8,441.75
86.01,471.07
84.73,467.91
98.0,455.96
97.16,476.99
60.3,442.7
89.15,437.19
73.92,450.07
67.5,449.67
70.8,430.73
68.04,441.29
52.79,445.58
65.97,472.11
65.45,445.87
95.82,459.4
81.89,449.21
80.68,468.88
81.18,442.48
60.66,436.94
56.96,446.33
65.73,429.5
69.5,454.58
84.52,440.04
62.88,447.88
75.13,456.08
45.97,442.43
82.81,469.33
87.88,474.26
81.56,461.27
54.79,431.77
65.14,443.84
92.58,474.58
97.6,457.3
76.33,444.48
72.78,449.02
69.53,469.37
53.39,442.86
78.17,435.9
48.52,444.76
54.54,433.89
79.23,466.7
66.84,476.12
82.61,473.63
72.25,434.02
98.84,489.86
90.19,471.19
88.04,453.03
82.59,478.43
47.09,441.3
68.9,466.22
70.71,451.43
72.95,467.83
75.59,436.18
64.54,445.18
83.41,462.48
60.95,434.88
69.68,490.34
84.86,469.86
79.98,480.05
71.33,457.11
56.86,468.4
61.47,447.16
34.9,434.3
69.28,428.0
71.27,436.89
96.2,483.61
48.02,444.78
88.65,464.72
74.58,460.84
98.43,477.99
91.78,446.99
96.64,470.8
61.75,468.87
43.06,442.38
80.42,491.81
64.11,435.82
80.72,446.96
99.89,449.7
83.51,450.88
56.35,440.99
71.22,435.56
54.03,434.27
84.96,444.57
90.73,433.31
57.89,444.99
84.15,440.29
87.04,468.8
31.15,429.25
44.84,435.59
84.68,468.47
42.01,436.08
77.48,471.11
64.77,495.24
67.29,431.18
81.16,444.43
76.95,443.61
91.87,471.49
84.2,470.04
94.26,489.95
67.22,442.81
57.92,473.01
58.83,447.95
46.98,440.31
91.28,475.7
46.15,440.43
92.96,445.85
85.41,489.6
62.61,450.05
70.04,432.67
64.53,434.66
72.07,462.22
81.52,438.33
89.49,463.65
78.43,481.56
86.0,463.77
88.12,477.02
83.34,462.32
61.37,462.08
82.48,485.11
91.66,435.47
93.47,448.1
60.59,463.18
75.29,445.0
54.25,438.42
61.9,459.02
71.51,480.14
48.85,448.73
79.61,484.08
62.29,457.53
81.22,488.92
97.59,467.6
62.67,440.57
58.13,437.11
58.18,456.17
77.59,446.62
83.57,467.33
72.29,478.21
80.27,441.15
93.48,480.04
97.28,476.06
55.85,431.84
97.61,470.44
72.36,443.86
85.19,475.07
71.38,451.5
74.64,472.95
73.16,454.4
67.11,452.34
67.94,431.21
72.41,471.44
51.08,438.14
89.82,466.83
59.84,431.92
81.0,428.44
92.56,436.43
71.06,431.77
78.15,477.23
65.11,450.09
65.03,445.76
85.08,475.49
71.39,445.68
81.99,467.81
42.17,436.46
88.84,466.17
63.14,439.33
92.59,467.28
75.39,438.5
65.51,425.71
84.37,482.26
96.54,455.8
69.35,438.75
81.42,445.9
84.72,450.33
56.79,453.39
51.11,440.51
87.96,449.01
51.84,442.3
78.57,466.64
44.32,432.33
86.95,480.62
72.58,482.02
92.85,490.41
63.86,434.95
70.14,450.62
50.42,436.24
82.33,465.09
52.76,425.66
81.67,476.7
83.94,432.13
61.27,439.24
87.45,448.22
78.29,438.97
61.43,450.88
81.15,448.75
81.34,463.9
82.22,462.11
52.87,433.84
93.42,462.48
84.28,430.49
71.95,461.96
40.71,441.78
95.56,474.08
95.59,484.9
100.11,460.56
94.06,466.67
70.21,433.45
60.03,447.59
73.77,461.8
83.59,470.04
71.96,454.02
69.7,458.12
66.02,443.94
83.5,466.68
92.32,474.07
75.98,435.48
72.22,486.18
75.02,465.89
90.3,464.77
72.49,477.94
